CB_Item_Code,Primary_Item_Code
2511,15
2804,27
2513,44
2514,56
2515,71
2516,75
2517,79
2518,83
2520,89
2520,92
2520,94
2520,97
2520,101
2520,103
2520,108
2531,116
2532,122
2533,125
2534,135
2534,136
2535,137
2534,149
2545,156
2545,157
2545,161
2546,176
2549,181
2547,187
2549,191
2549,195
2549,197
2549,201
2549,203
2549,205
2549,210
2549,211
2551,216
2551,217
2551,220
2551,221
2551,222
2551,223
2551,224
2551,225
2551,226
2551,234
2555,236
2556,242
2559,328
2560,249
2562,254
2563,260
2570,263
2570,265
2557,267
2558,270
2570,275
2570,277
2570,280
2561,289
2558,292
2570,296
2570,299
2570,305
2570,310
2570,311
2570,333
2570,336
2570,339
2605,358
2605,366
2605,367
2605,372
2605,373
2605,378
2601,388
2605,393
2605,394
2605,397
2605,399
2605,401
2605,402
2602,403
2605,406
2605,407
2605,414
2605,417
2605,420
2605,423
2605,426
2605,430
2605,446
2605,449
2605,459
2605,461
2605,463
2615,486
2616,489
2611,490
2611,495
2612,497
2613,507
2614,512
2617,515
2625,521
2625,523
2625,526
2625,530
2625,531
2625,534
2625,536
2625,541
2625,542
2625,544
2625,547
2625,549
2625,550
2625,552
2625,554
2625,558
2620,560
2605,567
2605,568
2625,569
2625,571
2625,572
2618,574
2619,577
2625,587
2625,592
2625,600
2625,603
2625,619
2630,656
2633,661
2635,667
2635,671
2640,687
2641,689
2645,692
2645,693
2642,698
2645,702
2645,711
2645,720
2645,723
2664,773
2664,777
2662,780
2663,782
2664,788
2665,789
2667,800
2666,809
2667,821
2671,826
2672,836
2731,867
2848,882
2748,919
2848,951
2748,957
2732,977
2848,982
2746,987
2748,995
2732,1017
2748,1025
2733,1035
2734,1058
2744,1062
2734,1069
2734,1073
2734,1080
2744,1091
2735,1097
2735,1108
2735,1127
2735,1141
2735,1163
2735,1166
2745,1182
2747,1185
2736,2736
2545,2545
